,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,Class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.3336991329084692,0.8947367846843723,-0.4793583126856918,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.31703844181693647,0.8949633879267552,-0.47999941669794594,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.315112667726061,1.5573386976905013,-0.6013256091474625,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14132074681682327,-1.29587615682125,0.13608232808863815,2,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.1524963740488001,-1.9935121624537167,0.3950495431586548,2,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.16740287939180118,-1.1584148581955414,0.016408855181087194,2,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.392309751830019,1.1353323201472494,-0.37307378904716615,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15213213986323657,-2.1030453014304755,0.3380517091593032,2,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15093868593101803,-1.9936058618805486,0.39501777464767057,2,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1548841718989578,-1.856362015794921,0.3564277319810068,2,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.26732666507364167,1.462805635598525,-0.19571787498224316,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16230408994257883,-1.7231250487768204,0.3056771571902012,2,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3064477352636077,0.7572572208301982,-0.3597214546054414,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2649335988419833,0.6861734274488733,-0.15156231192894443,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16854901072458317,-1.158411519822112,0.016448317225624468,2,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.23663865110510032,1.8744951380344372,-0.5867696556837916,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2273672262661522,-0.9178070719959844,0.1227379514018136,2,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16816561144657138,-1.158428354222641,0.016438970705281605,2,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3333587486281318,0.8947371850611512,-0.4793703736297832,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.32593676475092914,0.8950200464971211,-0.4797005795360115,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09107183420048152,-1.7187506866837006,0.31350937738382073,2,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.552797269410362,-1.3343669188740723,-0.03604664371350769,2,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.13840594563394124,-1.2958764575021786,0.1359799614639498,2,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16542131083328165,-1.1584615473691877,0.016350661943787547,2,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16796968808286697,-1.158447011863543,0.016436660085709723,2,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.33219579261316834,0.8947916441134853,-0.4794245996207656,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.22380514292430476,-0.37944766197222435,0.037614804654474046,2,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.20304762588666866,-1.1958698338880778,0.15442485169894,2,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16801839893094261,-1.1584116313200208,0.016429696275278835,2,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.333695069861087,0.8947365745483731,-0.4793584039530838,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1685312773392323,-1.158410872701254,0.01644753530576514,2,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3336793524097805,0.8947367896709331,-0.4793590090918357,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16861772090409632,-1.1584083925967863,0.016449965202656614,2,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.22745656335026393,-0.9178088983214514,0.12274153898108565,2,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6487996232076849,0.40682876858200123,-0.3831868274999639,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.36910766704532905,0.8572872889280974,-0.3413519615725103,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.18605754236243963,-1.719071771826339,0.30384843108388493,2,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23648938350615573,-1.297128386619403,0.12311129637866183,2,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.08008894112646274,-1.1590009557678584,0.00785450174182416,2,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.16836403326110708,-1.158404769685429,0.016440160996603666,2,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.16396981049067916,-1.1584442742663414,0.016295413550842058,2,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.1683033414827017,-1.1584104404779674,0.01643941853955997,2,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3616061345376389,1.743540095080362,-0.16341109811113144,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.2828782615942765,-0.032387940401700004,-0.29521283223724604,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.1686747198065669,-1.1584091075331553,0.016452143733843613,2,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.17950823360675772,-1.6419349034957211,0.27327964874453414,2,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14789934560833717,-1.1586613129789682,0.015783839475523344,2,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.1674699324529649,-1.158407268935857,0.016409350772771916,2,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.167747373321474,-1.1584190030848764,0.016421978759201136,2,GoldCoin
