,TotalCoinsMined,TotalCoinSupply,CoinName,Class
42,0.0,4.2e-11,42 Coin,0
404,0.0010658554443703134,0.000532,404Coin,0
1337,0.029575513522791114,0.314159265359,EliteCoin,0
BTC,1.8108421598585816e-05,2.1e-05,Bitcoin,2
ETH,0.00010877313976335468,0.0,Ethereum,2
LTC,6.367668686211587e-05,8.4e-05,Litecoin,2
DASH,9.122581150127228e-06,2.2e-05,Dash,0
XMR,1.7375047727488684e-05,0.0,Monero,2
ETC,0.00011450601351907833,0.00021,Ethereum Classic,2
ZEC,7.457675173596279e-06,2.1e-05,ZCash,2
BTS,0.002769294155476739,0.0036005705019999997,Bitshares,0
DGB,0.011521564786182067,0.021,DigiByte,2
BTCD,1.3018532258038877e-06,2.2e-05,BitcoinDark,0
XPY,1.2116595595934655e-05,1.2499999999999999e-05,PayCoin,0
PRC,5.826599760162344e-06,2.1e-05,ProsperCoin,2
KOBO,2.5800792718705074e-05,0.00035,KoboCoin,0
SPR,1.1262443547866963e-05,1.9999999999999998e-05,Spreadcoin,2
ARG,1.2329184444043638e-05,6.4e-05,Argentum,2
AUR,1.831844923844183e-05,1.6768584e-05,Aurora Coin,0
BLU,0.0006418495982840718,0.0,BlueCoin,0
XMY,0.0017053267225703456,0.002,MyriadCoin,2
MOON,4.646522283282147e-11,0.384,MoonCoin,2
ZET,0.00017192554364660632,0.000169795588,ZetaCoin,2
SXC,0.0001302448274794628,0.00025,SexCoin,2
QTL,7.432158258950554e-06,9.999999999999999e-05,Quatloo,2
ENRG,0.0001243072344799435,0.0,EnergyCoin,0
QRK,0.00026218190106836077,0.000247,QuarkCoin,2
RIC,5.004960407203722e-05,8.4e-05,Riecoin,2
DGC,3.3781139008450015e-05,4.8166e-05,Digitalcoin ,2
BTB,4.2967638288704366e-08,5e-07,BitBar,0
CAT,7.292926220874455e-06,2.1e-05,Catcoin,2
CBX,1.0495823209192735e-06,1e-06,CryptoBullion,0
CCN,4.751405197486568e-06,1.314e-05,CannaCoin,2
CRYPT,5.047475933992751e-06,1.8e-05,CryptCoin,2
CSC,0.04040449827006263,0.04,CasinoCoin,0
DMD,3.3378620409334326e-06,4.3799999999999996e-06,Diamond,0
XVG,0.016090618419729627,0.016555,Verge,2
DVC,0.018963708579634225,0.021,DevCoin,2
EAC,0.012665816261468323,0.0135,EarthCoin,2
EFL,2.1121894142137528e-05,2.1e-05,E-Gulden,2
EMC2,0.0002210852018189937,0.000299792458,Einsteinium,2
EMD,1.969390564401809e-05,3.2e-05,Emerald,2
EXCL,5.737098739796257e-06,0.0,Exclusive Coin,0
FLT,0.00046650012982872547,0.0,FlutterCoin,0
FRK,1.1542456330155606e-06,1.1235812999999999e-05,Franko,2
FTC,0.00021077922221115263,0.000336,FeatherCoin,2
GDC,0.000893066504733897,0.001420609614,GrandCoin,2
GLC,6.633679513934237e-05,7e-05,GlobalCoin,2
GLD,4.2079879736249724e-05,7.22457e-05,GoldCoin,2
HBN,9.016960544770809e-05,0.00012,HoboNickels,0
HYP,0.001695494126403373,0.0,HyperStake,0
IFC,0.09151190488395176,0.0906,Infinite Coin,2
IOC,1.782936687612714e-05,2.2e-05,IOCoin,0
IXC,2.130257316436215e-05,2.1e-05,IXcoin,2
KGC,0.0001529791256713188,0.0002654208,KrugerCoin,2
LKY,1.952171462386499e-05,1.9999999999999998e-05,LuckyCoin,2
LTB,1.1154695144323575e-06,1.35e-06,Litebar ,2
MAX,6.206713487587533e-05,9.999999999999999e-05,MaxCoin,0
MEC,3.853777066024121e-05,4.2e-05,MegaCoin,2
MED,4.084068267938516e-05,0.00019999999999999998,MediterraneanCoin,2
MINT,0.021509260777747684,0.0,MintCoin,0
MINC,5.8628576360991e-06,9.999999999999999e-06,MinCoin,2
MZC,0.0016301560170937082,0.0024192,MazaCoin,0
NAUT,1.634357824597457e-05,1.618e-05,Nautilus Coin,0
NAV,6.675536126159023e-05,0.0,NavCoin,0
NOBL,0.0023899931703711126,0.015,NobleCoin,2
NMC,1.4885379803443286e-05,2.1e-05,Namecoin,2
NYAN,0.0003380939367828343,0.000337,NyanCoin,2
OPAL,1.530959103431023e-05,0.0,OpalCoin,0
ORB,3.253142420400061e-06,3.77e-06,Orbitcoin,0
POT,0.00022492901282684556,0.00042,PotCoin,0
PXC,7.470714728778826e-05,9.8e-05,PhoenixCoin,0
RDD,0.02961202156181921,0.0,Reddcoin,0
RPC,1.1152808176527055e-06,2.1e-05,RonPaulCoin,2
SBC,2.446001595507046e-05,0.00025,StableCoin,2
SMC,2.5852512043003808e-05,5.12e-05,SmartCoin,2
SUPER,5.1220401872430455e-05,0.0,SuperCoin,0
SYNC,1.1464777636450732e-09,1e-09,SyncCoin,0
SYS,0.0005690332542950281,0.000888,SysCoin,2
TES,8.107205733460473e-05,9.999999999999999e-05,TeslaCoin,0
TGC,4.3977024597207445e-05,4.7011968e-05,TigerCoin,2
TIT,0.0016387322668513756,0.0023,TittieCoin,0
TOR,1.4462882058089128e-06,9.999999999999999e-06,TorCoin,0
TRC,2.316728836365402e-05,4.2e-05,TerraCoin,2
UNB,2.3011454264237876e-06,7.999999999999999e-05,UnbreakableCoin,2
UNO,2.0290109255462446e-07,2.5e-07,Unobtanium,2
URO,1.2194765290836668e-06,0.0,UroCoin,2
USDE,0.001110065736838991,0.0015999999999999999,UnitaryStatus Dollar,0
UTC,5.074317359596724e-05,9.999999999999999e-05,UltraCoin,0
VIA,2.3384963742223858e-05,2.3e-05,ViaCoin,2
VRC,3.2344880280320785e-05,0.0,VeriCoin,0
VTC,5.169117700448562e-05,8.4e-05,Vertcoin,2
WDC,0.0001208164268757715,0.0002654208,WorldCoin,2
XC,7.02107913256062e-06,5.5e-06,X11 Coin,0
XCR,0.00010101121017516,0.0,Crypti,0
XJO,3.959206487073396e-05,4.4999999999999996e-05,JouleCoin,2
XST,3.3428344146286866e-05,0.0,StealthCoin,0
ZCC,0.000149486750682716,0.001,ZCC Coin,0
BCN,0.18592820936339893,0.184467440735,ByteCoin,2
XDN,0.006976430614728428,0.01,DigitalNote ,2
BURST,0.0018313682302272918,0.0021588128,BurstCoin,0
SJCX,5.169059132444013e-05,0.0005,StorjCoin,0
MONA,6.88842528690752e-05,0.00010512,MonaCoin,2
NTRN,3.9517270722996776e-05,6.8e-05,Neutron,0
FAIR,5.373171257426225e-05,0.0,FairCoin,0
NLG,0.00041922940371274717,0.00168,Gulden,2
RBY,2.7459351832994873e-05,0.0,RubyCoin,0
PTC,0.00013890826284479005,0.000166386,PesetaCoin,2
KORE,2.0428746910438998e-06,1.2e-05,Kore,0
WBB,1.8371648199843193e-07,2.628e-06,Wild Beast Coin,2
NOTE,0.00017641218487765833,0.0005,Dnotes,0
FLO,0.00015381046349316466,0.00015999999999999999,Flo,2
8BIT,1.4826421555945544e-06,0.0,8BIT Coin,0
STV,7.1685584936518354e-06,9.999999999999999e-06,Sativa Coin,0
ABY,0.0008005517611206417,0.001,ArtByte,2
FLDC,0.0007266920705903823,0.001,Folding Coin,2
U,2.716970369101339e-06,1.9999999999999998e-05,Ucoin,0
UIS,6.577171953463686e-05,0.0,Unitus,2
CYP,6.429611685370236e-06,0.0,CypherPunkCoin,2
OMC,1.0242543481404855e-05,3.3713369999999998e-06,OmniCron,2
